,action_taken_name,loan_purpose_name,denial_reason_name_1
58,Application denied by financial institution,Refinancing,Debt-to-income ratio
59,Application denied by financial institution,Home purchase,Unverifiable information
60,Application denied by financial institution,Home purchase,Collateral
61,Application denied by financial institution,Refinancing,Unverifiable information
62,Application denied by financial institution,Refinancing,Unverifiable information
63,Application denied by financial institution,Refinancing,Credit history
64,Application denied by financial institution,Home purchase,Collateral
65,Application denied by financial institution,Home improvement,Credit history
66,Application denied by financial institution,Refinancing,Unverifiable information
67,Application denied by financial institution,Home improvement,Credit history
68,Application denied by financial institution,Refinancing,Collateral
69,Application denied by financial institution,Home purchase,Credit history
70,Application denied by financial institution,Home purchase,Debt-to-income ratio
71,Application denied by financial institution,Home purchase,Debt-to-income ratio
72,Application denied by financial institution,Home improvement,Credit history
73,Application denied by financial institution,Refinancing,Collateral
74,Application denied by financial institution,Home improvement,Collateral
75,Application denied by financial institution,Refinancing,Debt-to-income ratio
76,Application denied by financial institution,Home improvement,Credit history
77,Application denied by financial institution,Refinancing,Debt-to-income ratio
78,Application denied by financial institution,Refinancing,Debt-to-income ratio
79,Application denied by financial institution,Home improvement,Credit history
80,Application denied by financial institution,Home improvement,Credit history
81,Application denied by financial institution,Home improvement,Credit history
82,Application denied by financial institution,Home purchase,Credit history
83,Application denied by financial institution,Refinancing,Credit history
84,Application denied by financial institution,Home purchase,Collateral
85,Application denied by financial institution,Refinancing,Collateral
86,Application denied by financial institution,Refinancing,Collateral
87,Application denied by financial institution,Home purchase,Other
88,Application denied by financial institution,Refinancing,Debt-to-income ratio
89,Application denied by financial institution,Refinancing,Other
90,Application denied by financial institution,Home improvement,Debt-to-income ratio
91,Application denied by financial institution,Refinancing,Credit application incomplete
92,Application denied by financial institution,Home purchase,Credit application incomplete
93,Application denied by financial institution,Refinancing,Collateral
94,Application denied by financial institution,Refinancing,Debt-to-income ratio
95,Application denied by financial institution,Home purchase,Unverifiable information
96,Application denied by financial institution,Refinancing,Debt-to-income ratio
97,Application denied by financial institution,Home improvement,Debt-to-income ratio
98,Application denied by financial institution,Home purchase,Credit application incomplete
99,Application denied by financial institution,Home improvement,Debt-to-income ratio
100,Application denied by financial institution,Home improvement,Credit history
101,Application denied by financial institution,Home purchase,Unverifiable information
102,Application denied by financial institution,Home purchase,Debt-to-income ratio
103,Application denied by financial institution,Home purchase,Debt-to-income ratio
104,Application denied by financial institution,Home purchase,Credit history
105,Application denied by financial institution,Refinancing,Credit history
106,Application denied by financial institution,Home improvement,Credit history
107,Application denied by financial institution,Home purchase,Collateral
108,Application denied by financial institution,Refinancing,Credit application incomplete
109,Application denied by financial institution,Home purchase,Debt-to-income ratio
110,Application denied by financial institution,Home purchase,Debt-to-income ratio
111,Application denied by financial institution,Refinancing,Debt-to-income ratio
112,Application denied by financial institution,Home purchase,Debt-to-income ratio
113,Application denied by financial institution,Home improvement,Other
114,Application denied by financial institution,Refinancing,"Insufficient cash (downpayment, closing costs)"
115,Application denied by financial institution,Home improvement,Credit history
116,Application denied by financial institution,Refinancing,Collateral
117,Application denied by financial institution,Refinancing,Collateral
118,Application denied by financial institution,Home improvement,Credit history
119,Application denied by financial institution,Refinancing,Credit history
120,Application denied by financial institution,Home improvement,Credit application incomplete
121,Application denied by financial institution,Refinancing,Debt-to-income ratio
122,Application denied by financial institution,Home improvement,Credit history
123,Application denied by financial institution,Home purchase,Other
124,Application denied by financial institution,Home purchase,Debt-to-income ratio
125,Application denied by financial institution,Home purchase,Collateral
126,Application denied by financial institution,Home purchase,Collateral
127,Application denied by financial institution,Refinancing,Unverifiable information
128,Application denied by financial institution,Home improvement,Debt-to-income ratio
129,Application denied by financial institution,Refinancing,Debt-to-income ratio
130,Application denied by financial institution,Home improvement,Debt-to-income ratio
131,Application denied by financial institution,Home improvement,Credit history
132,Application denied by financial institution,Refinancing,Debt-to-income ratio
133,Application denied by financial institution,Home improvement,Credit history
134,Application denied by financial institution,Home purchase,Collateral
135,Application denied by financial institution,Refinancing,Debt-to-income ratio
136,Application denied by financial institution,Home improvement,Credit application incomplete
137,Application denied by financial institution,Home improvement,Collateral
138,Application denied by financial institution,Refinancing,Credit application incomplete
139,Application denied by financial institution,Home improvement,Debt-to-income ratio
140,Application denied by financial institution,Refinancing,Collateral
141,Application denied by financial institution,Refinancing,Other
142,Application denied by financial institution,Refinancing,Collateral
143,Application denied by financial institution,Refinancing,Credit application incomplete
144,Application denied by financial institution,Home improvement,Collateral
145,Application denied by financial institution,Refinancing,Credit history
146,Application denied by financial institution,Refinancing,Credit application incomplete
147,Application denied by financial institution,Home purchase,Credit history
148,Application denied by financial institution,Refinancing,Collateral
149,Application denied by financial institution,Refinancing,Collateral
150,Application denied by financial institution,Refinancing,Debt-to-income ratio
151,Application denied by financial institution,Home improvement,Credit history
152,Application denied by financial institution,Refinancing,Collateral
153,Application denied by financial institution,Refinancing,Debt-to-income ratio
154,Application denied by financial institution,Refinancing,Collateral
155,Application denied by financial institution,Refinancing,Employment history
156,Application denied by financial institution,Home purchase,Debt-to-income ratio
157,Application denied by financial institution,Home purchase,Debt-to-income ratio
158,Application denied by financial institution,Refinancing,Collateral
159,Application denied by financial institution,Home improvement,Credit history
160,Application denied by financial institution,Refinancing,Credit history
161,Application denied by financial institution,Refinancing,Other
162,Application denied by financial institution,Home purchase,Collateral
163,Application denied by financial institution,Home purchase,Collateral
164,Application denied by financial institution,Home purchase,Credit history
165,Application denied by financial institution,Home improvement,Credit history
166,Application denied by financial institution,Refinancing,Collateral
167,Application denied by financial institution,Refinancing,Credit history
168,Application denied by financial institution,Home purchase,Credit application incomplete
169,Application denied by financial institution,Refinancing,Other
170,Application denied by financial institution,Refinancing,Debt-to-income ratio
171,Application denied by financial institution,Home improvement,Credit history
172,Application denied by financial institution,Home purchase,Mortgage insurance denied
173,Application denied by financial institution,Refinancing,Collateral
174,Application denied by financial institution,Refinancing,Collateral
175,Application denied by financial institution,Home purchase,Other
176,Application denied by financial institution,Home improvement,Debt-to-income ratio
177,Application denied by financial institution,Home improvement,Debt-to-income ratio
178,Application denied by financial institution,Refinancing,Other
179,Application denied by financial institution,Home improvement,Debt-to-income ratio
180,Application denied by financial institution,Refinancing,Debt-to-income ratio
181,Application denied by financial institution,Refinancing,Employment history
182,Application denied by financial institution,Refinancing,Debt-to-income ratio
183,Application denied by financial institution,Refinancing,Collateral
184,Application denied by financial institution,Refinancing,Debt-to-income ratio
185,Application denied by financial institution,Home purchase,Other
186,Application denied by financial institution,Home improvement,Credit history
187,Application denied by financial institution,Home improvement,Credit history
188,Application denied by financial institution,Home purchase,Collateral
189,Application denied by financial institution,Home improvement,Other
190,Application denied by financial institution,Home purchase,Credit application incomplete
191,Application denied by financial institution,Home purchase,Collateral
192,Application denied by financial institution,Home purchase,Credit history
193,Application denied by financial institution,Refinancing,Credit application incomplete
194,Application denied by financial institution,Home improvement,Credit history
195,Application denied by financial institution,Refinancing,Other
196,Application denied by financial institution,Home purchase,Debt-to-income ratio
197,Application denied by financial institution,Home improvement,Debt-to-income ratio
198,Application denied by financial institution,Home purchase,"Insufficient cash (downpayment, closing costs)"
199,Application denied by financial institution,Home purchase,Debt-to-income ratio
200,Application denied by financial institution,Home purchase,Credit history
201,Application denied by financial institution,Refinancing,Collateral
202,Application denied by financial institution,Home purchase,Credit history
203,Application denied by financial institution,Home improvement,Employment history
204,Application denied by financial institution,Refinancing,Credit application incomplete
205,Application denied by financial institution,Refinancing,Credit history
206,Application denied by financial institution,Home improvement,Collateral
207,Application denied by financial institution,Home purchase,Collateral
208,Application denied by financial institution,Refinancing,Credit history
209,Application denied by financial institution,Home purchase,Debt-to-income ratio
210,Application denied by financial institution,Refinancing,Credit application incomplete
211,Application denied by financial institution,Home improvement,Credit history
212,Application denied by financial institution,Home purchase,Debt-to-income ratio
213,Application denied by financial institution,Refinancing,Collateral
214,Application denied by financial institution,Home improvement,Credit history
215,Application denied by financial institution,Home improvement,Credit history
216,Application denied by financial institution,Refinancing,Collateral
217,Application denied by financial institution,Home purchase,Collateral
218,Application denied by financial institution,Home improvement,Debt-to-income ratio
219,Application denied by financial institution,Home improvement,Other
220,Application denied by financial institution,Home purchase,Collateral
221,Application denied by financial institution,Home improvement,Credit history
222,Application denied by financial institution,Refinancing,Unverifiable information
223,Application denied by financial institution,Home purchase,Credit application incomplete
224,Application denied by financial institution,Home purchase,Other
225,Application denied by financial institution,Home purchase,Debt-to-income ratio
226,Application denied by financial institution,Home improvement,Debt-to-income ratio
227,Application denied by financial institution,Home purchase,"Insufficient cash (downpayment, closing costs)"
228,Application denied by financial institution,Refinancing,Other
229,Application denied by financial institution,Home improvement,Debt-to-income ratio
230,Application denied by financial institution,Home purchase,Collateral
231,Application denied by financial institution,Home purchase,"Insufficient cash (downpayment, closing costs)"
232,Application denied by financial institution,Refinancing,Credit history
233,Application denied by financial institution,Home improvement,Debt-to-income ratio
234,Application denied by financial institution,Home purchase,Credit application incomplete
235,Application denied by financial institution,Home purchase,Debt-to-income ratio
236,Application denied by financial institution,Home improvement,Credit history
237,Application denied by financial institution,Home purchase,Credit application incomplete
238,Application denied by financial institution,Home improvement,Debt-to-income ratio
239,Application denied by financial institution,Home improvement,Debt-to-income ratio
240,Application denied by financial institution,Refinancing,Debt-to-income ratio
241,Application denied by financial institution,Refinancing,Debt-to-income ratio
242,Application denied by financial institution,Refinancing,Debt-to-income ratio
243,Application denied by financial institution,Home purchase,Collateral
244,Application denied by financial institution,Home purchase,Collateral
245,Application denied by financial institution,Home improvement,Credit history
246,Application denied by financial institution,Refinancing,Collateral
247,Application denied by financial institution,Refinancing,Collateral
248,Application denied by financial institution,Refinancing,Credit application incomplete
249,Application denied by financial institution,Home purchase,"Insufficient cash (downpayment, closing costs)"
250,Application denied by financial institution,Refinancing,Credit history
251,Application denied by financial institution,Home purchase,Credit application incomplete
252,Application denied by financial institution,Refinancing,Collateral
253,Application denied by financial institution,Refinancing,Debt-to-income ratio
254,Application denied by financial institution,Refinancing,Credit application incomplete
255,Application denied by financial institution,Home purchase,Collateral
256,Application denied by financial institution,Home improvement,Debt-to-income ratio
257,Application denied by financial institution,Refinancing,Credit application incomplete
258,Application denied by financial institution,Home purchase,Mortgage insurance denied
259,Application denied by financial institution,Home improvement,Debt-to-income ratio
260,Application denied by financial institution,Refinancing,"Insufficient cash (downpayment, closing costs)"
261,Application denied by financial institution,Refinancing,Debt-to-income ratio
262,Application denied by financial institution,Refinancing,Credit application incomplete
263,Application denied by financial institution,Refinancing,Debt-to-income ratio
264,Application denied by financial institution,Home improvement,"Insufficient cash (downpayment, closing costs)"
265,Application denied by financial institution,Home improvement,Credit history
266,Application denied by financial institution,Refinancing,Credit history
267,Application denied by financial institution,Refinancing,Credit history
268,Application denied by financial institution,Refinancing,Credit history
269,Application denied by financial institution,Refinancing,Other
270,Application denied by financial institution,Refinancing,Debt-to-income ratio
271,Application denied by financial institution,Home improvement,Credit history
272,Application denied by financial institution,Refinancing,Other
273,Application denied by financial institution,Home purchase,Credit history
274,Application denied by financial institution,Home improvement,Other
275,Application denied by financial institution,Home purchase,Other
276,Application denied by financial institution,Home purchase,Credit history
277,Application denied by financial institution,Home purchase,Credit history
278,Application denied by financial institution,Refinancing,Credit history
279,Application denied by financial institution,Refinancing,Other
280,Application denied by financial institution,Refinancing,Collateral
281,Application denied by financial institution,Home improvement,Credit history
282,Application denied by financial institution,Home improvement,Other
283,Application denied by financial institution,Home improvement,Collateral
284,Application denied by financial institution,Refinancing,Collateral
285,Application denied by financial institution,Refinancing,Debt-to-income ratio
286,Application denied by financial institution,Home improvement,Debt-to-income ratio
287,Application denied by financial institution,Home purchase,Debt-to-income ratio
288,Application denied by financial institution,Refinancing,Collateral
289,Application denied by financial institution,Home improvement,Debt-to-income ratio
290,Application denied by financial institution,Refinancing,Collateral
291,Application denied by financial institution,Refinancing,Other
292,Application denied by financial institution,Refinancing,Credit history
293,Application denied by financial institution,Home purchase,Collateral
294,Application denied by financial institution,Refinancing,Credit application incomplete
295,Application denied by financial institution,Refinancing,Debt-to-income ratio
296,Application denied by financial institution,Refinancing,Credit history
297,Application denied by financial institution,Refinancing,Other
298,Application denied by financial institution,Refinancing,Debt-to-income ratio
299,Application denied by financial institution,Home improvement,Unverifiable information
300,Application denied by financial institution,Home purchase,Debt-to-income ratio
301,Application denied by financial institution,Refinancing,Debt-to-income ratio
302,Application denied by financial institution,Home improvement,Credit history
303,Application denied by financial institution,Home improvement,Credit history
304,Application denied by financial institution,Home purchase,Debt-to-income ratio
305,Application denied by financial institution,Home improvement,Credit history
306,Application denied by financial institution,Home improvement,Debt-to-income ratio
307,Application denied by financial institution,Refinancing,Credit application incomplete
308,Application denied by financial institution,Home improvement,Credit history
309,Application denied by financial institution,Refinancing,Collateral
310,Application denied by financial institution,Home improvement,Debt-to-income ratio
311,Application denied by financial institution,Refinancing,Collateral
312,Application denied by financial institution,Refinancing,Collateral
313,Application denied by financial institution,Home improvement,Collateral
314,Application denied by financial institution,Refinancing,Debt-to-income ratio
315,Application denied by financial institution,Refinancing,Debt-to-income ratio
316,Application denied by financial institution,Refinancing,Credit application incomplete
317,Application denied by financial institution,Home purchase,Collateral
318,Application denied by financial institution,Home purchase,Debt-to-income ratio
319,Application denied by financial institution,Home purchase,Credit history
320,Application denied by financial institution,Refinancing,Collateral
321,Application denied by financial institution,Home improvement,Debt-to-income ratio
322,Application denied by financial institution,Refinancing,Credit application incomplete
323,Application denied by financial institution,Home purchase,Collateral
324,Application denied by financial institution,Home purchase,Credit application incomplete
325,Application denied by financial institution,Refinancing,Collateral
326,Application denied by financial institution,Refinancing,Credit application incomplete
327,Application denied by financial institution,Home purchase,Unverifiable information
328,Application denied by financial institution,Home improvement,Credit history
329,Application denied by financial institution,Refinancing,Credit application incomplete
330,Application denied by financial institution,Refinancing,Collateral
331,Application denied by financial institution,Refinancing,Debt-to-income ratio
332,Application denied by financial institution,Refinancing,Other
333,Application denied by financial institution,Refinancing,Other
334,Application denied by financial institution,Home purchase,Credit application incomplete
335,Application denied by financial institution,Refinancing,Credit application incomplete
336,Application denied by financial institution,Home purchase,Credit history
337,Application denied by financial institution,Refinancing,Debt-to-income ratio
338,Application denied by financial institution,Refinancing,Collateral
339,Application denied by financial institution,Home improvement,"Insufficient cash (downpayment, closing costs)"
340,Application denied by financial institution,Home purchase,Debt-to-income ratio
341,Application denied by financial institution,Home purchase,Collateral
342,Application denied by financial institution,Refinancing,Collateral
343,Application denied by financial institution,Home purchase,Other
344,Application denied by financial institution,Home improvement,Credit history
345,Application denied by financial institution,Home purchase,Collateral
346,Application denied by financial institution,Home purchase,Unverifiable information
347,Application denied by financial institution,Refinancing,Debt-to-income ratio
348,Application denied by financial institution,Home purchase,Debt-to-income ratio
349,Application denied by financial institution,Refinancing,Credit application incomplete
350,Application denied by financial institution,Home improvement,Credit history
351,Application denied by financial institution,Home improvement,Credit history
352,Application denied by financial institution,Refinancing,Other
353,Application denied by financial institution,Home improvement,Credit history
354,Application denied by financial institution,Refinancing,Collateral
355,Application denied by financial institution,Refinancing,Collateral
356,Application denied by financial institution,Refinancing,Debt-to-income ratio
357,Application denied by financial institution,Refinancing,Credit history
358,Application denied by financial institution,Refinancing,Other
359,Application denied by financial institution,Home purchase,Credit application incomplete
360,Application denied by financial institution,Refinancing,Credit history
361,Application denied by financial institution,Refinancing,Debt-to-income ratio
362,Application denied by financial institution,Home improvement,Debt-to-income ratio
363,Application denied by financial institution,Home improvement,Credit history
364,Application denied by financial institution,Home improvement,Other
365,Application denied by financial institution,Home improvement,Credit history
366,Application denied by financial institution,Refinancing,Debt-to-income ratio
367,Application denied by financial institution,Home purchase,Collateral
368,Application denied by financial institution,Home purchase,Collateral
369,Application denied by financial institution,Home purchase,Collateral
370,Application denied by financial institution,Refinancing,Other
371,Application denied by financial institution,Refinancing,Collateral
372,Application denied by financial institution,Refinancing,Credit application incomplete
373,Application denied by financial institution,Refinancing,Collateral
374,Application denied by financial institution,Refinancing,Other
375,Application denied by financial institution,Home purchase,Other
376,Application denied by financial institution,Refinancing,Credit history
377,Application denied by financial institution,Refinancing,Debt-to-income ratio
378,Application denied by financial institution,Refinancing,Credit application incomplete
379,Application denied by financial institution,Refinancing,Credit application incomplete
380,Application denied by financial institution,Refinancing,Other
381,Application denied by financial institution,Refinancing,Debt-to-income ratio
382,Application denied by financial institution,Refinancing,"Insufficient cash (downpayment, closing costs)"
383,Application denied by financial institution,Home improvement,Collateral
384,Application denied by financial institution,Refinancing,Credit application incomplete
385,Application denied by financial institution,Refinancing,Employment history
386,Application denied by financial institution,Home purchase,Credit application incomplete
387,Application denied by financial institution,Home purchase,Credit application incomplete
388,Application denied by financial institution,Refinancing,Collateral
389,Application denied by financial institution,Home improvement,Credit history
390,Application denied by financial institution,Home improvement,Credit history
391,Application denied by financial institution,Home improvement,Unverifiable information
392,Application denied by financial institution,Home purchase,Other
393,Application denied by financial institution,Refinancing,Collateral
394,Application denied by financial institution,Home improvement,Credit application incomplete
395,Application denied by financial institution,Home improvement,Credit history
396,Application denied by financial institution,Home purchase,Collateral
397,Application denied by financial institution,Home improvement,Credit history
398,Application denied by financial institution,Home purchase,Collateral
399,Application denied by financial institution,Home purchase,Unverifiable information
400,Application denied by financial institution,Refinancing,Credit history
401,Application denied by financial institution,Refinancing,Collateral
402,Application denied by financial institution,Home improvement,Debt-to-income ratio
403,Application denied by financial institution,Refinancing,Unverifiable information
404,Application denied by financial institution,Refinancing,Debt-to-income ratio
405,Application denied by financial institution,Home improvement,Credit history
406,Application denied by financial institution,Refinancing,Credit history
407,Application denied by financial institution,Home purchase,Collateral
408,Application denied by financial institution,Refinancing,Collateral
409,Application denied by financial institution,Home improvement,Credit history
410,Application denied by financial institution,Home improvement,Other
411,Application denied by financial institution,Home purchase,Debt-to-income ratio
412,Application denied by financial institution,Refinancing,Debt-to-income ratio
413,Application denied by financial institution,Home purchase,Credit application incomplete
414,Application denied by financial institution,Home improvement,Credit history
415,Application denied by financial institution,Home purchase,Debt-to-income ratio
416,Application denied by financial institution,Home improvement,Credit history
417,Application denied by financial institution,Home purchase,Debt-to-income ratio
418,Application denied by financial institution,Refinancing,Debt-to-income ratio
419,Application denied by financial institution,Refinancing,Credit history
420,Application denied by financial institution,Refinancing,Credit history
421,Application denied by financial institution,Home purchase,Debt-to-income ratio
422,Application denied by financial institution,Home improvement,Credit history
423,Application denied by financial institution,Home purchase,Debt-to-income ratio
424,Application denied by financial institution,Refinancing,Debt-to-income ratio
425,Application denied by financial institution,Home purchase,Debt-to-income ratio
426,Application denied by financial institution,Home improvement,Credit history
427,Application denied by financial institution,Home improvement,Credit history
428,Application denied by financial institution,Home purchase,Debt-to-income ratio
429,Application denied by financial institution,Refinancing,Credit application incomplete
430,Application denied by financial institution,Refinancing,Unverifiable information
431,Application denied by financial institution,Refinancing,Collateral
432,Application denied by financial institution,Refinancing,"Insufficient cash (downpayment, closing costs)"
433,Application denied by financial institution,Refinancing,Debt-to-income ratio
434,Application denied by financial institution,Home purchase,Credit history
435,Application denied by financial institution,Home purchase,Other
436,Application denied by financial institution,Refinancing,Debt-to-income ratio
437,Application denied by financial institution,Home purchase,Collateral
438,Application denied by financial institution,Home improvement,Debt-to-income ratio
439,Application denied by financial institution,Refinancing,Debt-to-income ratio
440,Application denied by financial institution,Refinancing,"Insufficient cash (downpayment, closing costs)"
441,Application denied by financial institution,Refinancing,Debt-to-income ratio
442,Application denied by financial institution,Home improvement,Debt-to-income ratio
443,Application denied by financial institution,Home improvement,Credit history
444,Application denied by financial institution,Refinancing,Collateral
445,Application denied by financial institution,Refinancing,Debt-to-income ratio
446,Application denied by financial institution,Home purchase,Credit history
447,Application denied by financial institution,Home improvement,Credit history
448,Application denied by financial institution,Home purchase,Debt-to-income ratio
449,Application denied by financial institution,Home improvement,Debt-to-income ratio
450,Application denied by financial institution,Refinancing,Debt-to-income ratio
451,Application denied by financial institution,Home purchase,Debt-to-income ratio
452,Application denied by financial institution,Home purchase,Collateral
453,Application denied by financial institution,Home purchase,Collateral
454,Application denied by financial institution,Home improvement,Credit history
455,Application denied by financial institution,Refinancing,Credit history
456,Application denied by financial institution,Home purchase,Credit history
457,Application denied by financial institution,Refinancing,Collateral
458,Application denied by financial institution,Home improvement,Credit history
459,Application denied by financial institution,Home improvement,Debt-to-income ratio
460,Application denied by financial institution,Refinancing,Collateral
461,Application denied by financial institution,Home purchase,Collateral
462,Application denied by financial institution,Home improvement,Credit history
463,Application denied by financial institution,Refinancing,Credit history
464,Application denied by financial institution,Refinancing,Collateral
465,Application denied by financial institution,Home purchase,Debt-to-income ratio
466,Application denied by financial institution,Refinancing,Collateral
467,Application denied by financial institution,Home purchase,Debt-to-income ratio
468,Application denied by financial institution,Home improvement,Debt-to-income ratio
469,Application denied by financial institution,Home improvement,Employment history
470,Application denied by financial institution,Home purchase,Collateral
471,Application denied by financial institution,Refinancing,Debt-to-income ratio
472,Application denied by financial institution,Home improvement,Credit history
473,Application denied by financial institution,Refinancing,Debt-to-income ratio
474,Application denied by financial institution,Home purchase,Debt-to-income ratio
475,Application denied by financial institution,Home purchase,Debt-to-income ratio
476,Application denied by financial institution,Home improvement,Credit history
477,Application denied by financial institution,Refinancing,Collateral
478,Application denied by financial institution,Home purchase,Collateral
479,Application denied by financial institution,Refinancing,Debt-to-income ratio
480,Application denied by financial institution,Refinancing,Collateral
481,Application denied by financial institution,Refinancing,Collateral
482,Application denied by financial institution,Refinancing,Credit history
483,Application denied by financial institution,Home improvement,Debt-to-income ratio
484,Application denied by financial institution,Refinancing,Collateral
485,Application denied by financial institution,Home purchase,Credit history
486,Application denied by financial institution,Home purchase,Unverifiable information
487,Application denied by financial institution,Refinancing,Credit history
488,Application denied by financial institution,Home improvement,Credit history
489,Application denied by financial institution,Refinancing,Collateral
490,Application denied by financial institution,Refinancing,Collateral
491,Application denied by financial institution,Home improvement,Credit history
492,Application denied by financial institution,Refinancing,Debt-to-income ratio
493,Application denied by financial institution,Home improvement,Credit history
494,Application denied by financial institution,Home improvement,Credit history
495,Application denied by financial institution,Refinancing,Collateral
496,Application denied by financial institution,Refinancing,Credit application incomplete
497,Application denied by financial institution,Home purchase,Debt-to-income ratio
498,Application denied by financial institution,Home improvement,Credit history
499,Application denied by financial institution,Refinancing,Other
500,Application denied by financial institution,Refinancing,Debt-to-income ratio
501,Application denied by financial institution,Home improvement,Credit history
502,Application denied by financial institution,Refinancing,Collateral
503,Application denied by financial institution,Home improvement,Credit history
504,Application denied by financial institution,Home improvement,Debt-to-income ratio
505,Application denied by financial institution,Refinancing,Debt-to-income ratio
506,Application denied by financial institution,Home improvement,Debt-to-income ratio
507,Application denied by financial institution,Home purchase,Debt-to-income ratio
508,Application denied by financial institution,Home purchase,Collateral
509,Application denied by financial institution,Refinancing,Credit history
510,Application denied by financial institution,Home purchase,Other
511,Application denied by financial institution,Home purchase,Collateral
512,Application denied by financial institution,Refinancing,Debt-to-income ratio
513,Application denied by financial institution,Home purchase,Other
514,Application denied by financial institution,Home purchase,Credit history
515,Application denied by financial institution,Refinancing,Employment history
516,Application denied by financial institution,Refinancing,Other
517,Application denied by financial institution,Refinancing,Credit history
518,Application denied by financial institution,Home improvement,Collateral
519,Application denied by financial institution,Home purchase,Collateral
520,Application denied by financial institution,Refinancing,Debt-to-income ratio
521,Application denied by financial institution,Home improvement,Credit history
522,Application denied by financial institution,Home improvement,Other
523,Application denied by financial institution,Refinancing,Collateral
524,Application denied by financial institution,Home improvement,Other
525,Application denied by financial institution,Home purchase,Collateral
526,Application denied by financial institution,Home improvement,Credit history
527,Application denied by financial institution,Home purchase,Collateral
528,Application denied by financial institution,Home purchase,Collateral
529,Application denied by financial institution,Refinancing,Credit history
530,Application denied by financial institution,Home improvement,Other
531,Application denied by financial institution,Refinancing,Credit application incomplete
532,Application denied by financial institution,Home improvement,Credit application incomplete
533,Application denied by financial institution,Home purchase,Debt-to-income ratio
534,Application denied by financial institution,Home purchase,"Insufficient cash (downpayment, closing costs)"
535,Application denied by financial institution,Home purchase,Unverifiable information
536,Application denied by financial institution,Refinancing,Collateral
537,Application denied by financial institution,Home purchase,Employment history
538,Application denied by financial institution,Home purchase,Unverifiable information
539,Application denied by financial institution,Home improvement,Credit history
540,Application denied by financial institution,Home improvement,Debt-to-income ratio
541,Application denied by financial institution,Home purchase,Debt-to-income ratio
542,Application denied by financial institution,Refinancing,Collateral
543,Application denied by financial institution,Refinancing,Collateral
544,Application denied by financial institution,Refinancing,Other
545,Application denied by financial institution,Refinancing,Credit history
546,Application denied by financial institution,Home improvement,Credit history
547,Application denied by financial institution,Home purchase,Debt-to-income ratio
548,Application denied by financial institution,Home purchase,Other
